variant,data,size,time,unassign
feasible-most,o_test_01,30,0,465
feasible-most,o_test_02,30,0,81
feasible-most,o_test_03,30,0,32
feasible-most,o_test_05,130,0,80
feasible-most,o_test_06,120,0,2900
feasible-most,o_test_06,30,0,465
feasible-most,o_test_06,20,0,18
feasible-most,o_test_06,30,0,54
feasible-most,o_test_06,42,0,682
feasible-most,o_test_06,56,0,84
feasible-most,o_test_06,120,0,2900
feasible-most,o_test_06,90,0,121055
feasible-most,o_test_06,160,395,342568166
most,o_test_01,30,0,994
most,o_test_02,30,0,46
most,o_test_03,30,0,15
most,o_test_05,130,79,356803460
most,o_test_06,120,0,199503
most,o_test_06,30,0,994
most,o_test_06,20,0,33
most,o_test_06,30,0,52
most,o_test_06,42,0,262111
most,o_test_06,56,0,5576
most,o_test_06,120,0,199503
feasible,o_test_01,30,0,685
feasible,o_test_02,30,0,76
feasible,o_test_03,30,0,37
feasible,o_test_05,130,0,435
feasible,o_test_06,120,0,527
feasible,o_test_06,30,0,685
feasible,o_test_06,20,0,59
feasible,o_test_06,30,0,1567
feasible,o_test_06,42,0,76
feasible,o_test_06,56,0,66
feasible,o_test_06,120,0,527
feasible,o_test_06,90,0,635578
feasible,o_test_06,156,0,154114
feasible,o_test_06,160,58,83869904
vanilla,o_test_01,30,0,808
vanilla,o_test_02,30,0,41
vanilla,o_test_03,30,0,269
vanilla,o_test_06,120,367,1520903854
vanilla,o_test_06,30,0,808
vanilla,o_test_06,20,0,129
vanilla,o_test_06,30,0,1878
vanilla,o_test_06,42,0,41515
vanilla,o_test_06,56,0,42531
vanilla,o_test_06,120,361,1520903854
